,Claps,Creator,Date,Image count,ReadingTime,Subtitle,Tags,Title,Topics,WordCount
0,2907.0,493b5fda7b4a,1606410040140.0,5.0,1.8710691823899372,A holiday wish from my hands to your heart,", Poetry, Short Story, Photography, Poetry On Medium, Ps I Love You",Helping Hands in Any Way We Can,", Poetry",275.0
1,2436.0,36f662126f55,1605894797873.0,1.0,0.9207547169811321,A Free F(or)all,", Poetry, Cats, Awareness, Birds, Stories",The Cat,", Poetry",191.0
2,1614.0,1e5b14620079,1606562605359.0,1.0,1.079245283018868,A lesson in ephemerality,", Poetry, Nature, Spirituality, Mindfulness, Life Lessons",The Raindrops’ Skin,", Poetry",233.0
3,1155.0,838c932a9738,1606654978117.0,1.0,0.7245283018867925,Poetry Sunday,", Poetry, Poetry Sunday, Self Improvement, Mental Health, Personal Development",Worshipping at the Altar of Pain,", Poetry",139.0
4,98.0,7e14ae1db587,1606912786085.0,1.0,0.7169811320754718,Three Haikus of a Landscape,", Haiku, Poetry, Landscape, Love, Yellow",Loess,", Poetry",137.0
5,72.0,204c8bf51fb9,1606857325658.0,1.0,1.381132075471698,A poem about urban melancholy,", Poetry, Blue Insights, Life, Autumn, Thoughts",A Lifetime of Autumn,", Poetry",313.0
6,729.0,daa0aa08c599,1606849349513.0,1.0,0.7962264150943397,An Experiment,", Autumn, Poetry, Writing Prompts, Life, The Junction",Making Winter Jealous,", Poetry",158.0
7,95.0,1b40fd600190,1606914514318.0,2.0,1.0663522012578617,Prompt: Fear and Isolation,", Poetry, Free Verse, LGBTQ, Loneliness, Family",Lonely Sailor,", Poetry",181.0
8,80.0,fb0215c83007,1606861287836.0,1.0,0.7811320754716982,A poem,", Poetry, Abortion, Children, Loss, Life",The Child,", Poetry",154.0
9,0.0,c7fd131ee83e,1606848709939.0,1.0,0.939622641509434,by Fatimah bint AbdilAlim,", Societal Pressures, Cultural Assimilation, Originality, Faith and Life, Moments",HE FAILS,", Poetry",196.0
10,1146.0,59060e34f6e1,1606328701240.0,1.0,1.079245283018868,A Poem,", Poetry, Self, Creative Writing, Life, Life Lessons",My Life Is A Leaning Tower,", Poetry",233.0
11,139.0,4ebf677de2e8,1606622616594.0,1.0,1.430188679245283,Look at energy’s bones,", Poetry, Mental Health, Spirituality, Poetry On Medium, Energy",Kirlian Effect,", Poetry",326.0
12,166.0,b4b4c33d9ce6,1606824892260.0,1.0,1.3320754716981131,A Poem,", Poetry, Race, BlackLivesMatter, Slavery, Identity",The Blackened Room,", Poetry",300.0
13,211.0,6eed75bbd638,1606825138029.0,1.0,0.969811320754717,A poem.,", Poetry, Poetry On Medium, Self-awareness, Meaning, Food",Oatmeal,", Poetry",204.0
14,396.0,7231c444a17,1606571021793.0,1.0,0.7283018867924529,A poem,", Poetry, Eternity, Soul, Humanity, Spirituality",Our Mandalic Destinies,", Poetry",140.0
15,452.0,99ebc2d21ed7,1606815299927.0,1.0,0.6867924528301887,A Ghazal,", Poetry, Music, Travel, Self, Ghazal",Roadrunner,", Poetry",129.0
16,79.0,7138f09f9e4b,1606753492069.0,1.0,0.709433962264151,Poem,", Sri Aurobindo, Yoga, Poetry, Poetry On Medium, Poetry Writing",Appearances,", Poetry",135.0
17,3.0,de1ee890c01c,1606716175318.0,0.0,0.5811320754716981,"I’d like to write a book of poems
where I ultimately apologize to my wife
for childishly complaining that my needs
weren’t met while she…",", Poetry, Sex, Mourning, Grief, Relationships",Listening is Love,", Poetry",154.0
18,110.0,2edf2978177d,1606806543001.0,1.0,1.030188679245283,I wrote a song for Christmas 2020…,", Poetry, Lyrics, Christmas, 2020, Pandemic",If it’s magic that you’re hoping for,", Poetry",220.0
19,50.0,c823afcb7475,1606575087517.0,1.0,0.739622641509434,Poems From The Porch,", Poetry, Personal Growth, Compassion, Mindfulness, War",A Good Defense,", Poetry",143.0
30,3867.0,a84285dcd1d,1606649879598.0,1.0,4.19622641509434,The comedic giant’s streaming beef echoes the disenfranchised and challenges the privileged. Where do you stand?,", Dave Chappelle, Racism, Corporate Culture, Netflix Originals, White Privilege",America Taught Dave Chappelle That Millionaires Can Sharecrop Too,", Money, Culture, Society, Race, Equality, TV",1059.0
31,4096.0,a31c0ea40305,1606338495683.0,1.0,3.7433962264150944,He convinced Netflix to pull his old sketch show from streaming by saying it made him feel bad. Funny how that works.,", Chappelle, Culture, TV, Netflix, Comedy",The Hypocrisy of Dave Chappelle’s Power Play,", Culture, Humor, Equality, TV",939.0
32,2035.0,17a235d1fac1,1606320168379.0,1.0,4.558490566037736,The rich are deformed by wealth and can only sustain themselves through the suffering of these heroines,", The Crown, Culture, TV, Feminism, Equality",The Rise of the Class-Conscious Cinderella,", Culture, Society, Feminism, Equality, TV",1155.0
33,1919.0,be08b013cc2a,1606617573501.0,1.0,7.154716981132076,"Really, really wrong.",", Culture, Entertainment, Television, Work, Life",I Was Wrong About Ellen,", Culture, Equality, TV",1843.0
34,0.0,4077edc192fd,1606846967538.0,2.0,5.104088050314465,Dave Chappelle has a point,", Stand Up Comedy, Business, Entertainment, That Good You Need, Music Business",Creators Take Control,", TV",1251.0
35,28.0,39be1209e7c5,1606882670697.0,4.0,3.662264150943396,Better in black and white? 7 reasons “Gunsmoke’’ is riding high again,", Journalism, Television, Culture, Entertainment, Society",Why Are We Suddenly Watching Westerns Again?,", TV",785.0
36,4.0,6c7bcf3f4ab9,1606882742743.0,4.0,6.49245283018868,"S1 E1 | September 14, 1985",", The Golden Girls, TV, Pop Culture, Media",The Golden Girls: “The Engagement”,", TV",1535.0
37,126.0,dc1761f26207,1606842583613.0,1.0,5.4792452830188685,None of which require a scalpel.,", Greys Anatomy, Life Lessons, Advice, This Happened To Me, Relationships",4 Life Lessons I Learned From Meredith Grey,", Relationships, Self, TV",1399.0
38,2.0,d76a7f3ba381,1606841863868.0,1.0,5.837735849056604,Learn to play like the star of The Queen’s Gambit.,", Self Improvement, Inspiration, Women, Chess, Netflix",How to Play Chess Like Beth Harmon,", Gaming, Sports, TV",1494.0
39,2.0,7ed68aabcce4,1606874439097.0,1.0,4.226415094339623,The Netflix series provides viewers with imperfectly perfect escapist TV.,", Holidays, Culture, Love, Relationships, Television",Holiday Rom-Com ‘Dash & Lily’ Does the Genre Proud,", Culture, Film, TV",1067.0
40,6.0,66f799a6960f,1606858699373.0,1.0,4.203773584905661,A controversial opinion about something other than THAT green velvet coat,", Fashion, Style, TV Series, HBO, Women",Was A $500 Dress The Silent Star Of HBO’s The Undoing?,", Culture, Film, Style, TV",1061.0
41,532.0,853c337fff48,1606918662187.0,1.0,1.490566037735849,Anyone want to discuss The Leftovers with me?,", First Person, Television, Loneliness, Writing",The Loneliness of Solo Television,", Culture, Self, TV",342.0
42,519.0,cd5e0cfe1144,1606836310211.0,1.0,4.026415094339622,I gave him my password and hoped for the best.,", Relationships, Love, Long Distance, Dating, Self",Everything I Learned Sharing a Netflix Login With My Boyfriend,", Relationships, Self, TV",1014.0
43,13.0,40b2db8d735d,1606846419388.0,0.0,1.381132075471698,How Spike Lee’s ‘Do the Right Thing’ finds justice—and how network TV took that justice away,", Movies, Protest, Culture, Spike Lee, TV",When the ‘Wrong’ Thing Is the Right Thing,", Culture, Film, TV",366.0
44,278.0,62b24fa29ee0,1606831379379.0,4.0,4.941509433962264,"Please, stop using motherhood as a filler plotline.",", Feminism, Women, TV Series, Culture, Motherhood",Gilmore Girls Had a Baby Problem,", Feminism, TV",1124.0
45,71.0,c71fded3a115,1606773851270.0,1.0,3.377358490566038,But I went through a crisis of conscience first.,", Netflix, Television, The Queens Gambit, Culture, Relationships",I Don’t Like Everyone’s Favorite Show… And I’m Okay With It,", Culture, Relationships, TV",842.0
46,0.0,208ca0168791,1606773755894.0,3.0,5.934905660377359,"Who is The Mandalorian’s new Jedi character, and what’s that on her head?",", Star Wars, The Mandalorian, Ahsoka Tano, Television, Disney Plus",The Casual Star Wars Fan’s Guide to Ahsoka Tano,", Culture, Film, TV",1427.0
47,23.0,752823f68126,1606410186493.0,5.0,4.780503144654088,"Hugo Vickers, author of “‘The Crown’ Dissected,” reveals what the Netflix show leaves out about Prince Charles‘ royal affair.",", Netflix, Royals, Relationships, The Crown, Affairs",What ‘The Crown’ gets wrong about Prince Charles and Camilla’s relationship in the ‘80s,", Culture, Society, Relationships, TV",1046.0
48,50.0,6dc0573654b,1606758357783.0,1.0,4.079245283018868,“It’s like Satan’s kitchen in here.”,", Climate Change, Television, Culture",Another Victim of Global Warming: ‘the Great British Baking Show’,", Culture, Climate Change, TV",1028.0
49,1.0,95e6db2f0843,1606593769461.0,4.0,5.926415094339623,Mando and the Child arrive on a planet where a surviving Jedi is causing problems for the people who’ve taken over a city.,", Star Wars, The Mandalorian, TV, Television, Review",The Mandalorian — ‘Chapter 13: The Jedi’ [2x5] ★★★★☆,", TV",1385.0
